obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,pfaffian_status,proof_reference,check_status,notes
section_skew_block,pfaffian_section,skew block section matrix,pfaffian_sections.csv,skew_block,skew_block_id and section_matrix_id,The local determinant section requires an actual skew block matrix,missing_open_obligation,chapters/06_pfaffian_dirac.tex:455,verified,no skew block row supplied
wall_normal_rank,wall_chart,type-II normal rank row,wall_charts.csv,normal_rank,normal_rank=1,Local wall sign requires the rank-one normal Pfaffian block,missing_open_obligation,chapters/06_pfaffian_dirac.tex:344,verified,no wall normal rank row supplied
wall_divisor_order,wall_chart,type-II divisor order row,wall_charts.csv,divisor_order,divisor_order=1,The Pfaffian divisor order must match the type-II wall,missing_open_obligation,chapters/06_pfaffian_dirac.tex:385,verified,no wall divisor order row supplied
wall_type_i_exclusion,wall_chart,type-I wall exclusion row,wall_charts.csv,type_i_excluded,type_i_excluded=true,P_fin must separate type-II walls from type-I divisors,missing_open_obligation,chapters/06_pfaffian_dirac.tex:695,verified,no type-I exclusion row supplied
wall_reflection_unit,wall_chart,reflection-invariant unit row,wall_charts.csv,reflection_unit_invariant,reflection_unit_invariant=true,The local sign is not defined without invariant wall unit,missing_open_obligation,appendices/G_obstruction_discharges.tex:87,verified,no reflection unit row supplied
wall_sign_value,wall_chart,local type-II Pfaffian sign row,wall_charts.csv,sign_value,sign_value=-1,Orientation character comparison requires the local Pfaffian sign,missing_open_obligation,chapters/06_pfaffian_dirac.tex:635,verified,no wall sign row supplied
automorphic_line,automorphic_comparison,Pfaffian-to-automorphic line comparison,automorphic_comparisons.csv,automorphic_line,automorphic_line_id and cusp_frame_id,The equality with Delta_5 is a line comparison not a scalar statement,missing_open_obligation,chapters/06_pfaffian_dirac.tex:404,verified,no automorphic line row supplied
automorphic_leading_coefficient,automorphic_comparison,leading coefficient normalization,automorphic_comparisons.csv,leading_coefficient,leading_coefficient=64 and leading_residual=0,The Pfaffian normalization must match the Borcherds leading coefficient,missing_open_obligation,chapters/06_pfaffian_dirac.tex:447,verified,no leading coefficient row supplied
automorphic_weight,automorphic_comparison,automorphic weight row,automorphic_comparisons.csv,weight,weight=5,The target line is the weight-five automorphic line,missing_open_obligation,chapters/06_pfaffian_dirac.tex:404,verified,no weight row supplied
automorphic_character,automorphic_comparison,automorphic character row,automorphic_comparisons.csv,character,character=nu_delta5,The Pfaffian orientation character must compare with the Maass character,missing_open_obligation,chapters/06_pfaffian_dirac.tex:404,verified,no character row supplied
automorphic_square_compatibility,automorphic_comparison,square compatibility row,automorphic_comparisons.csv,square_compatibility,square_defect_rank=0,The square must identify with the Igusa chi_10 normalization,missing_open_obligation,chapters/06_pfaffian_dirac.tex:417,verified,no square compatibility row supplied
transition_line,transition,Pfaffian line transition row,transitions.csv,line_transition,line_transition_id and r1lim_rank=0,The inverse-limit Pfaffian line requires strict line transitions,missing_open_obligation,chapters/06_pfaffian_dirac.tex:488,verified,no line transition row supplied
transition_section,transition,Pfaffian section transition row,transitions.csv,section_transition,section_transition_id and r1lim_rank=0,The inverse-limit Pfaffian section requires strict section transitions,missing_open_obligation,chapters/06_pfaffian_dirac.tex:488,verified,no section transition row supplied
transition_closed_image,transition,closed-image transition row,transitions.csv,closed_image,closed_image_status=verified,The HN inverse system must have closed images for Pfaffian rows,missing_open_obligation,chapters/06_pfaffian_dirac.tex:488,verified,no closed-image row supplied
transition_ml,transition,Pfaffian Mittag-Leffler row,transitions.csv,mittag_leffler,ml_status=ml_verified and r1lim_rank=0,The pro-Pfaffian product requires ML exactness,missing_open_obligation,chapters/06_pfaffian_dirac.tex:488,verified,no Pfaffian ML row supplied
firewall_scalar_product,scalar_firewall,scalar Borcherds product exclusion,scalar_firewall.csv,scalar_borcherds_product,excluded_from_pfin=true,A scalar product does not construct a Pfaffian line or section,missing_open_obligation,chapters/06_pfaffian_dirac.tex:481,verified,no scalar product firewall row supplied
firewall_squared_determinant,scalar_firewall,squared determinant exclusion,scalar_firewall.csv,squared_determinant,excluded_from_pfin=true,Squaring forgets the Pfaffian orientation and line data,missing_open_obligation,chapters/06_pfaffian_dirac.tex:415,verified,no squared determinant firewall row supplied
firewall_op_scalar_trace,scalar_firewall,OP scalar trace exclusion,scalar_firewall.csv,op_scalar_trace,excluded_from_pfin=true,The OP scalar trace is a level-Z scalar branch not P_fin data,missing_open_obligation,chapters/06_pfaffian_dirac.tex:546,verified,no OP scalar firewall row supplied
firewall_exponent_table,scalar_firewall,exponent table exclusion,scalar_firewall.csv,exponent_table,excluded_from_pfin=true,Exponent tables do not supply skew complexes or determinant sections,missing_open_obligation,chapters/06_pfaffian_dirac.tex:476,verified,no exponent table firewall row supplied
