obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,first_window_status,proof_reference,check_status,notes
pbw_associated_graded,pbw,associated graded rank equality,pbw_graded.csv,associated_graded_rank,associated_graded_rank equal to source and target PBW ranks,the filtered recognition map must be strict on associated gradeds,missing_open_obligation,Appendix F finite relation closed window packet,verified,no associated graded row is supplied
pbw_defect,pbw,zero PBW defect,pbw_graded.csv,pbw_defect_zero,integer pbw_defect_rank equal to 0,PBW failure means the presentation is not the BKM presentation,missing_open_obligation,Appendix F finite relation closed window packet,verified,no PBW defect computation is supplied
pbw_filtration_strict,pbw,zero filtration strictness defect,pbw_graded.csv,filtration_strictness_zero,integer filtration_strictness_defect_rank equal to 0,transition to the inverse system needs strict filtered maps,missing_open_obligation,Appendix F finite relation closed window packet,verified,no filtration strictness computation is supplied
theorem_o1,theorem_rows,first window O1 theorem,first_window_theorems.csv,o1,proved_in_window row with residual_defect_rank 0,reduced orientation must be proved on the finite source data,missing_open_obligation,Appendix F finite relation closed window packet,verified,no O1 theorem row is supplied
theorem_o1_plus,theorem_rows,first window O1 plus theorem,first_window_theorems.csv,o1_plus,proved_in_window row with residual_defect_rank 0,Weyl equivariant transport must be checked on the finite wall data,missing_open_obligation,Appendix F finite relation closed window packet,verified,no O1 plus theorem row is supplied
theorem_o2,theorem_rows,first window O2 theorem,first_window_theorems.csv,o2,proved_in_window row with residual_defect_rank 0,the Pfaffian wall normal form must be computed in the finite window,missing_open_obligation,Appendix F finite relation closed window packet,verified,no O2 theorem row is supplied
theorem_pfin,theorem_rows,first window finite Pfaffian theorem,first_window_theorems.csv,pfin,proved_in_window row with residual_defect_rank 0,the finite Pfaffian line and section must exist before equality to Delta5,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Pfin theorem row is supplied
theorem_hall_product,theorem_rows,first window Hall product theorem,first_window_theorems.csv,hall_product,proved_in_window row with residual_defect_rank 0,the compact Hall multiplication must be constructed from correspondences,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Hall product theorem row is supplied
theorem_hall_coproduct,theorem_rows,first window Hall coproduct theorem,first_window_theorems.csv,hall_coproduct,proved_in_window row with residual_defect_rank 0,primitives require a coproduct and cannot be inferred from multiplication,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Hall coproduct theorem row is supplied
theorem_hopf_pairing,theorem_rows,first window Hopf pairing theorem,first_window_theorems.csv,hopf_pairing,proved_in_window row with residual_defect_rank 0,the radical quotient and primitive recognition use the Hopf pairing,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Hopf pairing theorem row is supplied
theorem_koszul_comparison,theorem_rows,first window Koszul comparison theorem,first_window_theorems.csv,koszul_comparison,proved_in_window row with residual_defect_rank 0,the Koszul comparison is the homotopical bridge from source to target,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Koszul comparison theorem row is supplied
theorem_pbw_comparison,theorem_rows,first window PBW comparison theorem,first_window_theorems.csv,pbw_comparison,proved_in_window row with residual_defect_rank 0,PBW is the finite algebraic test for presentation equality,missing_open_obligation,Appendix F finite relation closed window packet,verified,no PBW comparison theorem row is supplied
theorem_primitive_recognition,theorem_rows,first window primitive recognition theorem,first_window_theorems.csv,primitive_recognition,proved_in_window row with residual_defect_rank 0,the first relation closed window is the minimal source recognition theorem,missing_open_obligation,Appendix F finite relation closed window packet,verified,no primitive recognition theorem row is supplied
theorem_pfaffian_equality,theorem_rows,first window Pfaffian equality theorem,first_window_theorems.csv,pfaffian_equality,proved_in_window row with residual_defect_rank 0,the finite Pfaffian equality is relative to constructed finite data,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Pfaffian equality theorem row is supplied
transition_strict,transitions,strict first window transition,transitions.csv,strict_transition,strict_status equal to strict_verified,inverse limits require strict filtered transition maps,missing_open_obligation,Appendix F finite relation closed window packet,verified,no strict transition row is supplied
transition_mittag_leffler,transitions,Mittag Leffler transition,transitions.csv,mittag_leffler,ml_status equal to ml_verified,lim1 vanishing is required before passing from windows to the pro object,missing_open_obligation,Appendix F finite relation closed window packet,verified,no Mittag Leffler transition row is supplied
transition_r1lim,transitions,zero R1 lim rank,transitions.csv,r1lim_zero,integer r1lim_rank equal to 0,cofinal recognition needs vanishing derived inverse limit obstruction,missing_open_obligation,Appendix F finite relation closed window packet,verified,no R1 lim computation is supplied
transition_kernel_compatible,transitions,kernel compatible transition,transitions.csv,kernel_transition_defect_zero,integer kernel_transition_defect_rank equal to 0,kernel equality must survive transition to larger windows,missing_open_obligation,Appendix F finite relation closed window packet,verified,no kernel transition computation is supplied
transition_pbw_compatible,transitions,PBW compatible transition,transitions.csv,pbw_transition_defect_zero,integer pbw_transition_defect_rank equal to 0,PBW strictness must survive transition to the inverse system,missing_open_obligation,Appendix F finite relation closed window packet,verified,no PBW transition computation is supplied
