obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,trace_status,proof_reference,check_status,notes
normalization_square_4096,scalar_normalization,squared theta-leading coefficient row,scalar_normalizations.csv,square_coefficient,square_coefficient=4096,The inverse-square scalar uses the squared theta-leading coefficient,missing_open_obligation,chapters/09_zbps_realization.tex:734,verified,no square coefficient row supplied
normalization_op_sign,scalar_normalization,OP sign branch row,scalar_normalizations.csv,op_sign,op_sign=-1,The OP minus sign must be recorded as scalar branch data,missing_open_obligation,chapters/09_zbps_realization.tex:734,verified,no OP sign row supplied
normalization_unscaled_trace,scalar_normalization,unscaled protected trace row,scalar_normalizations.csv,unscaled_trace,unscaled_trace_id,The OP representative must be separated from the protected trace,missing_open_obligation,appendices/G_obstruction_discharges.tex:940,verified,no unscaled trace row supplied
identity_delta5_inverse_square,trace_identity,Delta5 inverse-square identity row,trace_identities.csv,delta5_inverse_square,delta5_power=-2,The protected trace identity is Delta_5^{-2},missing_open_obligation,appendices/G_obstruction_discharges.tex:890,verified,no Delta5 inverse-square row supplied
identity_phi10_inverse,trace_identity,Phi10 inverse identity row,trace_identities.csv,phi10_inverse,phi10_power=-1,The trace must identify with (Phi_10^un)^{-1},missing_open_obligation,chapters/09_zbps_realization.tex:732,verified,no Phi10 inverse row supplied
identity_context,trace_identity,equality-context row,trace_identities.csv,equality_context,equality_context in protected_trace or unscaled_trace or op_chamber,The same scalar expression must not collapse protected and OP contexts,missing_open_obligation,compute/verify_trace_fixture.py:140,verified,no equality-context row supplied
identity_residual,trace_identity,zero trace-identity residual row,trace_identities.csv,identity_residual,identity_residual_rank=0,The scalar equality needs a zero residual row,missing_open_obligation,compute/verify_trace_fixture.py:140,verified,no identity residual row supplied
forget_orientation,forgetful_map,orientation-kernel row,forgetful_maps.csv,orientation_killed,orientation_killed=true,The scalar trace cannot recover the orientation character,missing_open_obligation,chapters/09_zbps_realization.tex:743,verified,no orientation-kernel row supplied
forget_bracket,forgetful_map,primitive-bracket-kernel row,forgetful_maps.csv,bracket_killed,bracket_killed=true,The scalar trace cannot recover the primitive bracket,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no bracket-kernel row supplied
forget_hopf_pairing,forgetful_map,Hopf-pairing-kernel row,forgetful_maps.csv,pairing_killed,pairing_killed=true,The scalar trace cannot recover the Hopf pairing or radicals,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no pairing-kernel row supplied
forget_pbw,forgetful_map,PBW-kernel row,forgetful_maps.csv,pbw_killed,pbw_killed=true,The scalar trace cannot recover PBW data,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no PBW-kernel row supplied
forget_parity,forgetful_map,parity-kernel row,forgetful_maps.csv,parity_killed,parity_killed=true,The scalar trace cannot recover parity representatives,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no parity-kernel row supplied
forget_kernel_witness,forgetful_map,kernel witness row,forgetful_maps.csv,kernel_witness,kernel_witness_id with forgetfulness_defect_rank=0,The forgetful statement must be witnessed by a map not asserted in prose,missing_open_obligation,compute/verify_trace_fixture.py:154,verified,no kernel witness row supplied
gravity_level_a_residual,gravity_residual,level-A gravity residual row,gravity_residuals.csv,level_a_residual,beilinson_level=A,The gravity-line problem lives at level A not level Z,missing_open_obligation,appendices/G_obstruction_discharges.tex:825,verified,no level-A residual row supplied
gravity_operator_algebra,gravity_residual,gravity-line operator algebra row,gravity_residuals.csv,operator_algebra,operator_algebra_id,The trace identity does not construct an acting gravity-line algebra,missing_open_obligation,appendices/G_obstruction_discharges.tex:829,verified,no operator algebra row supplied
gravity_morphism,gravity_residual,Hall-Borcherds morphism row,gravity_residuals.csv,morphism,morphism_id,The residual asks for an operator-valued Hall-Borcherds morphism,missing_open_obligation,chapters/09_zbps_realization.tex:921,verified,no gravity morphism row supplied
gravity_trace_character,gravity_residual,trace-character row,gravity_residuals.csv,trace_character,trace_character_id,The acting algebra must have scalar character Delta_5^{-2},missing_open_obligation,chapters/09_zbps_realization.tex:921,verified,no trace-character row supplied
gravity_open_status,gravity_residual,open-not-constructed status row,gravity_residuals.csv,open_not_constructed,conjectural_status=open constructed_status=not_constructed,The gravity-line residual must remain open until constructed,missing_open_obligation,appendices/G_obstruction_discharges.tex:834,verified,no open status row supplied
gravity_unused_in_trace,gravity_residual,unused-in-trace-proof row,gravity_residuals.csv,unused_in_trace_proof,used_in_trace_proof=false,The level-Z trace theorem must not use the level-A residual,missing_open_obligation,appendices/G_obstruction_discharges.tex:845,verified,no unused-in-proof row supplied
transition_strict,transition,strict trace transition row,transitions.csv,strict_transition,strict_status=verified,The trace must be compatible along finite HN stages,missing_open_obligation,appendices/F_finite_constructions.tex:1811,verified,no strict transition row supplied
transition_mittag_leffler,transition,trace Mittag-Leffler row,transitions.csv,mittag_leffler,ml_status=ml_verified,The inverse limit trace requires Mittag-Leffler exactness,missing_open_obligation,appendices/F_finite_constructions.tex:1811,verified,no ML row supplied
transition_r1lim,transition,R1lim trace row,transitions.csv,r1lim_zero,r1lim_rank=0,The pro-trace must have vanishing R1lim obstruction,missing_open_obligation,compute/verify_trace_fixture.py:181,verified,no R1lim row supplied
transition_normalization,transition,normalization transition row,transitions.csv,normalization_defect,normalization_defect_rank=0,The scalar normalization must commute with transitions,missing_open_obligation,compute/verify_trace_fixture.py:181,verified,no normalization transition row supplied
transition_forgetful,transition,forgetful transition row,transitions.csv,forgetful_defect,forgetful_defect_rank=0,The scalar kernel statements must commute with transitions,missing_open_obligation,compute/verify_trace_fixture.py:181,verified,no forgetful transition row supplied
firewall_gravity_path_integral,scalar_firewall,gravity path-integral exclusion row,scalar_firewall.csv,gravity_path_integral,excluded_from_trace=true,A scalar trace is not a 3d gravity path integral,missing_open_obligation,chapters/09_zbps_realization.tex:921,verified,no gravity firewall row supplied
firewall_hopf_pairing,scalar_firewall,Hopf-pairing exclusion row,scalar_firewall.csv,hopf_pairing,excluded_from_trace=true,The scalar trace does not reconstruct the Hopf pairing,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no Hopf firewall row supplied
firewall_orientation_character,scalar_firewall,orientation-character exclusion row,scalar_firewall.csv,orientation_character,excluded_from_trace=true,The scalar trace does not reconstruct epsilon_o,missing_open_obligation,chapters/09_zbps_realization.tex:741,verified,no orientation firewall row supplied
firewall_parity_split,scalar_firewall,parity-split exclusion row,scalar_firewall.csv,parity_split,excluded_from_trace=true,The scalar trace does not reconstruct parity representatives,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no parity firewall row supplied
firewall_pbw_basis,scalar_firewall,PBW basis exclusion row,scalar_firewall.csv,pbw_basis,excluded_from_trace=true,The scalar trace does not reconstruct completed PBW data,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no PBW firewall row supplied
firewall_pfaffian_line,scalar_firewall,Pfaffian-line exclusion row,scalar_firewall.csv,pfaffian_line,excluded_from_trace=true,The scalar trace does not reconstruct the Pfaffian line,missing_open_obligation,chapters/09_zbps_realization.tex:904,verified,no Pfaffian-line firewall row supplied
firewall_primitive_bracket,scalar_firewall,primitive-bracket exclusion row,scalar_firewall.csv,primitive_bracket,excluded_from_trace=true,The scalar trace does not reconstruct the primitive bracket,missing_open_obligation,chapters/09_zbps_realization.tex:900,verified,no primitive-bracket firewall row supplied
firewall_source_koszul_map,scalar_firewall,source-Koszul-map exclusion row,scalar_firewall.csv,source_koszul_map,excluded_from_trace=true,The scalar trace does not reconstruct the source Koszul comparison,missing_open_obligation,appendices/F_finite_constructions.tex:1807,verified,no source-Koszul firewall row supplied
