obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,pro_object_status,proof_reference,check_status,notes
component_Theta_Kos,stage_objects,finite Koszul comparison component,stage_objects.csv,Theta_Kos,component row with typed category and payload packet,the source to target comparison must be a finite morphism datum,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no Theta_Kos stage object row is supplied
component_L_Pf,stage_objects,finite Pfaffian line component,stage_objects.csv,L_Pf,component row with typed category and payload packet,the Pfaffian line must exist before its section or scalar product,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no L_Pf stage object row is supplied
component_pf,stage_objects,finite Pfaffian section component,stage_objects.csv,pf,component row with typed category and payload packet,the Pfaffian section must transition as a section of a line bundle,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no pf stage object row is supplied
component_epsilon_o,stage_objects,finite orientation character component,stage_objects.csv,epsilon_o,component row with typed category and payload packet,the orientation character is not recovered from scalar trace,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no epsilon_o stage object row is supplied
component_Rec,stage_objects,finite recognition component,stage_objects.csv,Rec,component row with typed category and payload packet,primitive recognition is finite table data not denominator equality,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no Rec stage object row is supplied
stage_typed_category,stage_objects,typed finite-stage category,stage_objects.csv,typed_category,category name for each component row,the exact category of the finite datum must be stated before forming Pro,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no typed category rows are supplied
stage_finite_type,stage_objects,finite type status of each component,stage_objects.csv,finite_type_status,finite_type_verified for each component,rowwise finiteness is needed for the retained finite stage,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no finite type status rows are supplied
stage_payload_packet,stage_objects,payload packet bridge for each component,stage_objects.csv,payload_packet_id,payload_packet_id pointing to the finite proof packet,the pro object cannot be assembled from unnamed retained data,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no payload packet rows are supplied
transition_morphism,stage_morphisms,finite-stage transition morphism,stage_morphisms.csv,morphism_id,morphism_id from stage R to stage Rprime,a pro-object is a functor with transition morphisms,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no transition morphism row is supplied
transition_strict,stage_morphisms,strict transition morphism,stage_morphisms.csv,strict_status,strict_verified for the filtered transition,strictness is needed for filtered inverse limits and PBW comparison,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no strict transition status is supplied
transition_component_coverage,stage_morphisms,component coverage for transitions,stage_morphisms.csv,component_coverage_status,component_coverage_verified for all fourteen components,each transition must cover every component of the finite datum,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no component coverage row is supplied
transition_identity,stage_morphisms,identity transition defect,stage_morphisms.csv,identity_defect_zero,identity_defect_rank equal to 0,identity transition laws are required for a functor into the finite-stage category,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no transition identity defect computation is supplied
component_map_M1,component_maps,M1 charge window map,component_maps.csv,M1,map_payload_id preserving charge windows central extensions and Gram labels,M1 is part of the finite transition data,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no M1 component map is supplied
component_map_M2,component_maps,M2 stack and vanishing cycle map,component_maps.csv,M2,map_payload_id preserving stacks cosections vanishing cycles and orientations,M2 carries the geometric moduli data through transitions,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no M2 component map is supplied
component_map_M3,component_maps,M3 hybrid carrier map,component_maps.csv,M3,map_payload_id preserving the hybrid factorization carrier,M3 carries the Ran hybrid carrier through transitions,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no M3 component map is supplied
component_map_M4,component_maps,M4 orientation wall map,component_maps.csv,M4,map_payload_id preserving Weyl lifts and wall charts,M4 carries orientation and Pfaffian wall data through transitions,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no M4 component map is supplied
component_map_M5,component_maps,M5 Hall bialgebra map,component_maps.csv,M5,map_payload_id preserving Hall product coproduct pairing and primitive projection,M5 is required before primitives form an inverse system,missing_open_obligation,certificates/hall/transition_radical_preservation/README.md:1,verified,no M5 component map is supplied; see transition_primitive_subspace_preservation and transition_radical_preservation obstruction packets
component_map_M6,component_maps,M6 Pfaffian line transition,component_maps.csv,M6,map_payload_id carrying Pfaffian lines and sections,M6 is required before a Pfaffian inverse limit exists,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no M6 component map is supplied
component_map_M7,component_maps,M7 Koszul source map,component_maps.csv,M7,map_payload_id preserving coalgebra and Koszul comparison,M7 is required before the chiral Koszul source forms a tower,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no M7 component map is supplied
component_map_M8,component_maps,M8 primitive recognition map,component_maps.csv,M8,map_payload_id preserving recognition tables PBW data and parity decompositions,M8 is required before recognition passes to cofinal windows,missing_open_obligation,certificates/hall/transition_parity_decomposition_preservation/README.md:1,verified,no M8 component map is supplied; see transition_pbw_filtration_preservation and transition_parity_decomposition_preservation obstruction packets
component_map_payload,component_maps,component map payload identifiers,component_maps.csv,map_payload_id,map_payload_id for each component map,row labels without payload do not define morphisms,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no component map payload rows are supplied
component_map_compatibility,component_maps,zero component compatibility defect,component_maps.csv,compatibility_defect_zero,compatibility_defect_rank equal to 0,the component maps must commute with the finite-stage structures,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no compatibility defect computation is supplied
component_map_kernel,component_maps,zero component map kernel defect,component_maps.csv,kernel_rank_zero,kernel_rank equal to 0,kernel defects prevent transition equivalence on the retained component,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no kernel defect computation is supplied
component_map_cokernel,component_maps,zero component map cokernel defect,component_maps.csv,cokernel_rank_zero,cokernel_rank equal to 0,cokernel defects prevent transition equivalence on the retained component,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no cokernel defect computation is supplied
composition_law,composition,composition law for transition morphisms,composition_laws.csv,rho_composition,composition row for high mid and low stages,transition maps must compose before one has a functor,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no composition law row is supplied
composition_left_right,composition,left and right composite comparison,composition_laws.csv,left_right_composites,left_composite_id and right_composite_id,the equality rho_RRprime rho_RprimeRdoubleprime equals rho_RRdoubleprime must be represented,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no composite comparison row is supplied
composition_defect,composition,zero composition defect,composition_laws.csv,composition_defect_zero,composition_defect_rank equal to 0,nonzero composition defect prevents a pro-object,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no composition defect computation is supplied
ml_component_tower,ml_exactness,component inverse tower,ml_exactness.csv,component_tower,tower_id for every component tower,each component needs its own inverse-system exactness check,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no component tower row is supplied
ml_strict,ml_exactness,strict ML transition,ml_exactness.csv,strict_status,strict_verified for each component tower,strict transition maps are needed for filtered limits,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no strict ML row is supplied
ml_verified,ml_exactness,Mittag Leffler condition,ml_exactness.csv,ml_status,ml_verified for each component tower,the inverse limit uses ML exactness rather than formal passage to the limit,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no ML status row is supplied
ml_r1lim,ml_exactness,zero derived inverse limit obstruction,ml_exactness.csv,r1lim_zero,r1lim_rank equal to 0,R1 inverse limit controls exactness of the finite-to-pro passage,missing_open_obligation,certificates/hall/pbw_associated_graded_lim1_vanishing/README.md:1,verified,no R1 lim computation is supplied; moduli cohomology lim1 is isolated in moduli_cohomology_lim1_vanishing primitive-space lim1 is isolated in primitive_space_lim1_vanishing pairing-kernel lim1 is isolated in pairing_kernel_lim1_vanishing and PBW associated-graded lim1 is isolated in pbw_associated_graded_lim1_vanishing
ml_transition_defect,ml_exactness,zero ML transition defect,ml_exactness.csv,transition_defect_zero,transition_defect_rank equal to 0,transition defects obstruct componentwise exact inverse limits,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no ML transition defect computation is supplied
pro_iso_common_cofinal,pro_isomorphisms,common cofinal subsystem for pro-isomorphism,pro_isomorphisms.csv,common_cofinal_subsystem,cofinal_subsystem_id shared by source and target pro objects,pro-isomorphism is represented only after common cofinal refinement,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no common cofinal pro-isomorphism row is supplied
pro_iso_finite_family,pro_isomorphisms,finite-stage isomorphism family,pro_isomorphisms.csv,finite_stage_iso_family,finite_stage_iso_family_id with commuting finite stages,an isomorphism in Pro must be represented by finite-stage maps,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no finite-stage isomorphism family is supplied
pro_iso_inverse_family,pro_isomorphisms,inverse finite-stage family,pro_isomorphisms.csv,inverse_family,inverse_family_id with two-sided inverse checks,pro-isomorphism needs an inverse family not equality of scalar products,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no inverse family row is supplied
pro_iso_status,pro_isomorphisms,verified pro-isomorphism status,pro_isomorphisms.csv,iso_status,isomorphism_verified,the pro-isomorphism must be proved in the pro-category,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no iso status row is supplied
pro_iso_commuting,pro_isomorphisms,zero commuting square defect,pro_isomorphisms.csv,commute_defect_zero,commute_defect_rank equal to 0,finite-stage isomorphisms must commute with transitions,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no commute defect computation is supplied
pro_iso_left_inverse,pro_isomorphisms,zero left inverse defect,pro_isomorphisms.csv,left_inverse_defect_zero,left_inverse_defect_rank equal to 0,one-sided scalar equality is not a pro-isomorphism,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no left inverse defect computation is supplied
pro_iso_right_inverse,pro_isomorphisms,zero right inverse defect,pro_isomorphisms.csv,right_inverse_defect_zero,right_inverse_defect_rank equal to 0,two-sided inverse data are required in the pro-category,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no right inverse defect computation is supplied
pro_iso_presentation_independence,pro_isomorphisms,finite presentation independence,pro_isomorphisms.csv,finite_presentation_independence,presentation independence row over common cofinal subsystem,the pro-object must be independent of finite presentation choices,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no presentation independence row is supplied
