obligation_id,lane,required_artifact,required_table,required_row_type,cohomology_or_rank_payload,why_required,orientation_status,proof_reference,check_status,notes
finite_klein_four_quadratic,finite_stabilizer,Klein-four quadratic coefficients,finite_stabilizers.csv,klein_four_b20_b11_b02,b20=b11=b02=0,The E2 quotient orientation class requires all three quadratic coefficients to vanish,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:177,verified,no Klein-four quadratic row supplied
finite_klein_four_linear,finite_stabilizer,Klein-four linearization coefficients,finite_stabilizers.csv,klein_four_lambda,lambda1=lambda2=0,Cyclic quadratic restrictions do not kill the H1-linearization torsor,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:182,verified,no Klein-four linearization row supplied
finite_two_primary_quadratic,finite_stabilizer,two-primary quadratic coefficients,finite_stabilizers.csv,two_primary_A1_A12_A2,A1=A12=A2=0,The mixed coefficient A12 is not detected by cyclic restrictions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:190,verified,no two-primary quadratic row supplied
finite_two_primary_linear,finite_stabilizer,two-primary linearization coefficients,finite_stabilizers.csv,two_primary_lambda,lambda1=lambda2=0,The two-primary stabilizer has an independent H1-linearization torsor,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:190,verified,no two-primary linearization row supplied
weyl_lift_tau_square,weyl_transport,Weyl lift involutivity row,weyl_lifts.csv,tau_square,tau_square_defect_rank=0,O1+ requires determinant-line lifts of simple reflections square to identity,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:282,verified,no tau square row supplied
weyl_lift_torsor,weyl_transport,Weyl torsor defect row,weyl_lifts.csv,torsor_defect,torsor_defect_rank=0,O1+ requires quotient orientation torsor to transport with the line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:257,verified,no torsor defect row supplied
weyl_lift_quotient_transport,weyl_transport,quotient cocycle transport row,weyl_lifts.csv,quotient_cocycle_transport,quotient_cocycle_transport_defect_rank=0,O1+ requires Weyl transport of the quotient Borel cocycle,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:282,verified,no quotient transport row supplied
coxeter_projective_cocycle,weyl_transport,projective cocycle vanishing row,coxeter_cocycles.csv,projective_cocycle,cocycle_defect_rank=0,An honest Weyl action requires the projective cocycle to vanish,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:273,verified,no projective cocycle row supplied
coxeter_cochain_trivialization,weyl_transport,cochain trivialization row,coxeter_cocycles.csv,cochain_trivialization,cochain_defect_rank=0,Projective cocycle vanishing must be supplied with a cochain trivialization,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:273,verified,no cochain row supplied
coxeter_coherence,weyl_transport,Coxeter coherence row,coxeter_cocycles.csv,coxeter_coherence,coxeter_defect_rank=0,O1+ requires coherence of determinant-line transport on Coxeter words,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:283,verified,no Coxeter coherence row supplied
transition_strict,transition,strict orientation transition row,transitions.csv,strict_orientation_transition,strict_status=strict_verified,The retained orientation datum must survive HN transitions,missing_open_obligation,certificates/orientation/transition_orientation_preservation/README.md:1,verified,no strict transition row supplied; see transition_orientation_preservation obstruction packet
transition_ml,transition,orientation Mittag-Leffler row,transitions.csv,orientation_ML,r1lim_rank=0 and ml_status=ml_verified,Inverse-limit orientation cannot be inferred from finite rows without ML exactness,missing_open_obligation,certificates/orientation/transition_orientation_preservation/README.md:1,verified,no orientation ML row supplied; see transition_orientation_preservation obstruction packet
firewall_scalar_trace,scalar_firewall,scalar trace exclusion,scalar_firewall.csv,scalar_trace,excluded_from_orientation=true,Scalar trace does not recover a Picard-groupoid orientation line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:286,verified,no scalar trace firewall row supplied
firewall_squared_determinant,scalar_firewall,squared determinant exclusion,scalar_firewall.csv,squared_determinant,excluded_from_orientation=true,Squaring forgets the orientation character,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:286,verified,no squared determinant firewall row supplied
firewall_op_scalar_branch,scalar_firewall,OP scalar branch exclusion,scalar_firewall.csv,op_scalar_branch,excluded_from_orientation=true,The OP scalar branch is chamber data not an orientation line,missing_open_obligation,chapters/06_pfaffian_dirac.tex:1114,verified,no OP branch firewall row supplied
firewall_maass_character,scalar_firewall,Maass character value exclusion,scalar_firewall.csv,maass_character_value,excluded_from_orientation=true,Maass character values compare to orientation after Weyl transport but do not construct it,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:286,verified,no Maass character firewall row supplied
