degree_id,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,additive_m,parent_terminal_count,coverage_role,proof_reference,check_status,notes
beta_0_3_3,0,3,3,0,0,3,6,0,10,12,18,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_3_3,2,3,3,2,2,3,8,-40,58640,810,12,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_1_4,3,1,4,3,0,1,8,-24,4016,-657,12,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_2_3,3,2,3,3,2,2,8,-40,58640,810,12,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_0_4,4,0,4,4,0,0,8,0,10,90,8,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_1_3,4,1,3,4,2,1,8,-24,4016,-657,12,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_4_5,0,4,5,0,-1,4,9,2,1,-90,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_5_4,0,5,4,0,1,5,9,2,1,-90,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_3_5,1,3,5,1,-1,3,9,-22,-2752,657,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_4_4,1,4,4,1,1,4,9,-30,-11775,594,8,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_5_3,1,5,3,1,3,5,9,-22,-2752,657,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_3_4,2,3,4,2,1,3,9,-46,-141826,495,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_3,2,4,3,2,3,4,9,-46,-141826,495,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_1_5,3,1,5,3,-1,1,9,-22,-2752,657,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_2_4,3,2,4,3,1,2,9,-46,-141826,495,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_0_5,4,0,5,4,-1,0,9,2,1,-90,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_1_4,4,1,4,4,1,1,9,-30,-11775,594,8,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_2_3,4,2,3,4,3,2,9,-46,-141826,495,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_5_0_4,5,0,4,5,1,0,9,2,1,-90,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_5_1_3,5,1,3,5,3,1,9,-22,-2752,657,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_5_5,0,5,5,0,0,5,10,0,10,-135,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_3_6,1,3,6,1,-2,3,10,-16,808,85,8,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_4_5,1,4,5,1,0,4,10,-32,16524,171,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_5_4,1,5,4,1,2,5,10,-32,16524,171,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_6_3,1,6,3,1,4,6,10,-16,808,85,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_3_5,2,3,5,2,0,3,10,-48,188304,-837,7,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_4,2,4,4,2,2,4,10,-56,556416,900,6,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_1_6,3,1,6,3,-2,1,10,-16,808,85,8,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_2_5,3,2,5,3,0,2,10,-48,188304,-837,7,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_1_5,4,1,5,4,0,1,10,-32,16524,171,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_2_4,4,2,4,4,2,2,10,-56,556416,900,6,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_5_0_5,5,0,5,5,0,0,10,0,10,-135,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_5_1_4,5,1,4,5,2,1,10,-32,16524,171,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_6_1_3,6,1,3,6,4,1,10,-16,808,85,9,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_5_6,0,5,6,0,-1,5,11,2,1,135,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_6_5,0,6,5,0,1,6,11,2,1,135,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_4_6,1,4,6,1,-1,4,11,-30,-11775,-171,4,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_5_5,1,5,5,1,1,5,11,-38,-43200,702,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_6_4,1,6,4,1,3,6,11,-30,-11775,-171,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_3_6,2,3,6,2,-1,3,11,-46,-141826,837,6,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_5,2,4,5,2,1,4,11,-62,-1201149,-1053,4,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_2_6,3,2,6,3,-1,2,11,-46,-141826,837,6,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_1_6,4,1,6,4,-1,1,11,-30,-11775,-171,4,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_2_5,4,2,5,4,1,2,11,-62,-1201149,-1053,4,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_5_0_6,5,0,6,5,-1,0,11,2,1,135,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_5_1_5,5,1,5,5,1,1,11,-38,-43200,702,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_6_0_5,6,0,5,6,1,0,11,2,1,135,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_6_1_4,6,1,4,6,3,1,11,-30,-11775,-171,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_6_6,0,6,6,0,0,6,12,0,10,-54,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_4_7,1,4,7,1,-2,4,12,-24,4016,-594,3,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_5_6,1,5,6,1,0,5,12,-40,58640,-495,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_6_5,1,6,5,1,2,6,12,-40,58640,-495,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_7_4,1,7,4,1,4,7,12,-24,4016,-594,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_3_7,2,3,7,2,-2,3,12,-40,58640,-495,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_6,2,4,6,2,0,4,12,-64,1541096,297,3,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_2_7,3,2,7,3,-2,2,12,-40,58640,-495,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_1_7,4,1,7,4,-2,1,12,-24,4016,-594,3,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_2_6,4,2,6,4,0,2,12,-64,1541096,297,3,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_5_1_6,5,1,6,5,0,1,12,-40,58640,-495,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_6_0_6,6,0,6,6,0,0,12,0,10,-54,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_6_1_5,6,1,5,6,2,1,12,-40,58640,-495,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_7_1_4,7,1,4,7,4,1,12,-24,4016,-594,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_0_7_6,0,7,6,0,1,7,13,2,1,54,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_4_8,1,4,8,1,-3,4,13,-14,-513,657,3,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_6_6,1,6,6,1,1,6,13,-46,-141826,-673,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_7_5,1,7,5,1,3,7,13,-38,-43200,495,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_8_4,1,8,4,1,5,8,13,-14,-513,657,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_3_8,2,3,8,2,-3,3,13,-30,-11775,-810,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_7,2,4,7,2,-1,4,13,-62,-1201149,-297,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_3_2_8,3,2,8,3,-3,2,13,-30,-11775,-810,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_1_8,4,1,8,4,-3,1,13,-14,-513,657,3,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_2_7,4,2,7,4,-1,2,13,-62,-1201149,-297,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_6_1_6,6,1,6,6,1,1,13,-46,-141826,-673,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_7_0_6,7,0,6,7,1,0,13,2,1,54,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_7_1_5,7,1,5,7,3,1,13,-38,-43200,495,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_8_1_4,8,1,4,8,5,1,13,-14,-513,657,5,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_7_6,1,7,6,1,2,7,14,-48,188304,900,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_8_5,1,8,5,1,4,8,14,-32,16524,-702,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_8,2,4,8,2,-2,4,14,-56,556416,1053,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_2_8,4,2,8,4,-2,2,14,-56,556416,1053,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_7_1_6,7,1,6,7,2,1,14,-48,188304,900,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_8_1_5,8,1,5,8,4,1,14,-32,16524,-702,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_1_8_6,1,8,6,1,3,8,15,-46,-141826,-900,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_9,2,4,9,2,-3,4,15,-46,-141826,-900,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_4_2_9,4,2,9,4,-3,2,15,-46,-141826,-900,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_8_1_6,8,1,6,8,3,1,15,-46,-141826,-900,1,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
beta_2_4_10,2,4,10,2,-4,4,16,-32,16524,-495,2,terminal_layer_saturation_real_string_downward_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_expected_rows,verified,exact downward-saturation extension forced by the 55 real-string terminal codomains; target-degree audit only
