obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_status_payload,why_required,d0_status,proof_reference,check_status,notes
orientation_specialization_cone,orientation,orientation specialization cone,orientation_specializations.csv,specialization_cone,specialization_cone_rank=0,Orientation gerbes must specialize with zero cone rank,missing_open_obligation,appendices/G_obstruction_discharges.tex:208,verified,no orientation specialization cone row supplied
orientation_transition,orientation,orientation transition compatibility,orientation_specializations.csv,transition_defect,transition_defect_rank=0,Orientation lines must commute with HN transition maps,missing_open_obligation,appendices/G_obstruction_discharges.tex:208,verified,no orientation transition row supplied
pfaffian_line_specialization,pfaffian_integration,Pfaffian line specialization,pfaffian_integration.csv,pfaffian_line,specialization_defect_rank=0,Pfaffian line must extend across D0 special fibre,missing_open_obligation,appendices/G_obstruction_discharges.tex:213,verified,no Pfaffian line row supplied
pfaffian_section_specialization,pfaffian_integration,Pfaffian section specialization,pfaffian_integration.csv,pfaffian_section,specialization_defect_rank=0,Finite Pfaffian sections must specialize to the D0 fibre,missing_open_obligation,appendices/G_obstruction_discharges.tex:213,verified,no Pfaffian section row supplied
protected_integration_specialization,pfaffian_integration,protected integration specialization,pfaffian_integration.csv,protected_integration,specialization_defect_rank=0,Protected integration maps must commute with D0 specialization,missing_open_obligation,appendices/G_obstruction_discharges.tex:213,verified,no protected integration row supplied
compact_support_specialization,pfaffian_integration,compact-support operation specialization,pfaffian_integration.csv,compact_support_operation,transition_defect_rank=0,Compact-support six-functor operations must commute with HN transitions,missing_open_obligation,appendices/G_obstruction_discharges.tex:215,verified,no compact-support row supplied
hall_operation_specialization,pfaffian_integration,Hall operation specialization,pfaffian_integration.csv,hall_operation,transition_defect_rank=0,Hall product and coproduct maps must extend across D0 special fibre,missing_open_obligation,appendices/G_obstruction_discharges.tex:215,verified,no Hall operation row supplied
ml_vanishing_cycles,ml_exactness,ML exactness for vanishing cycles,ml_exactness.csv,vanishing_cycles,strict_status=strict_verified ml_status=ml_verified r1lim_rank=0,Inverse-limit D0 vanishing cycles require strict ML exactness,missing_open_obligation,certificates/vanishing_cycles/transition_vanishing_cycle_preservation/README.md:1,verified,no vanishing-cycle ML row supplied; see transition_vanishing_cycle_preservation obstruction packet
ml_orientation_gerbes,ml_exactness,ML exactness for orientation gerbes,ml_exactness.csv,orientation_gerbes,strict_status=strict_verified ml_status=ml_verified r1lim_rank=0,Orientation gerbes cannot be passed to the pro-limit without ML exactness,missing_open_obligation,appendices/G_obstruction_discharges.tex:218,verified,no orientation ML row supplied
ml_pfaffian_lines,ml_exactness,ML exactness for Pfaffian lines,ml_exactness.csv,pfaffian_lines,strict_status=strict_verified ml_status=ml_verified r1lim_rank=0,Pfaffian lines require inverse-system exactness,missing_open_obligation,appendices/G_obstruction_discharges.tex:218,verified,no Pfaffian ML row supplied
ml_compact_support,ml_exactness,ML exactness for compact support operations,ml_exactness.csv,compact_support_operations,strict_status=strict_verified ml_status=ml_verified r1lim_rank=0,Compact-support operations require exact passage to the HN pro-limit,missing_open_obligation,certificates/moduli/moduli_cohomology_lim1_vanishing/README.md:1,verified,no compact-support ML row supplied; retained moduli cohomology R1lim is isolated in moduli_cohomology_lim1_vanishing
ml_hall_product,ml_exactness,ML exactness for Hall product,ml_exactness.csv,hall_product,strict_status=strict_verified ml_status=ml_verified r1lim_rank=0,Hall product maps require exact transition to the pro-limit,missing_open_obligation,certificates/hall/transition_hall_product_preservation/README.md:1,verified,no Hall product ML row supplied; see transition_hall_product_preservation obstruction packet
ml_hall_coproduct,ml_exactness,ML exactness for Hall coproduct,ml_exactness.csv,hall_coproduct,strict_status=strict_verified ml_status=ml_verified r1lim_rank=0,Hall coproduct maps require exact transition to the pro-limit,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/README.md:1,verified,no Hall coproduct ML row supplied; see transition_hall_coproduct_preservation obstruction packet
ml_finite_stage_morphisms,ml_exactness,ML exactness for finite-stage morphisms,ml_exactness.csv,finite_stage_morphisms,strict_status=strict_verified ml_status=ml_verified r1lim_rank=0,Dirac-Igusa finite-stage morphisms require exact inverse-system passage,missing_open_obligation,certificates/moduli/moduli_cohomology_lim1_vanishing/README.md:1,verified,no finite-stage morphism ML row supplied; moduli cohomology image stabilization is separately missing
firewall_hilbert_scheme_scalar,scalar_firewall,Hilbert scheme scalar specialization exclusion,scalar_firewall.csv,hilbert_scheme_scalar_specialization,excluded_from_d0_hn=true,Hilbert-scheme scalar tests do not construct the threefold D0-HN datum,missing_open_obligation,appendices/G_obstruction_discharges.tex:225,verified,no Hilbert-scheme scalar firewall row supplied
firewall_k3_scalar_test,scalar_firewall,K3 scalar test exclusion,scalar_firewall.csv,k3_scalar_test,excluded_from_d0_hn=true,K3 elliptic genus checks do not replace D0-HN transition data,missing_open_obligation,appendices/G_obstruction_discharges.tex:289,verified,no K3 scalar firewall row supplied
firewall_scalar_trace,scalar_firewall,scalar trace exclusion,scalar_firewall.csv,scalar_trace,excluded_from_d0_hn=true,The level Z scalar trace does not provide D0-HN geometry,missing_open_obligation,appendices/G_obstruction_discharges.tex:254,verified,no scalar trace firewall row supplied
