obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,o2_status,proof_reference,check_status,notes
chart_reflection_flip,wall_chart,reflection coordinate flip row,wall_charts.csv,reflection_flip,reflection_flips_coordinate=true,The simple reflection must send the normal coordinate to its negative,missing_open_obligation,chapters/06_pfaffian_dirac.tex:341,verified,no reflection-flip row supplied
chart_local_sign,wall_chart,local Pfaffian sign row,wall_charts.csv,local_sign,local_sign=-1,The orientation character comparison uses the local type-II Pfaffian sign,missing_open_obligation,appendices/E_pfaffian_wall.tex:121,verified,no local sign row supplied
overlap_transition,overlap,overlap transition isomorphism,overlaps.csv,transition_isomorphism,transition_isomorphism_id,Local charts do not form an atlas without transition isomorphisms,missing_open_obligation,appendices/G_obstruction_discharges.tex:90,verified,no overlap transition row supplied
overlap_cech_cocycle,overlap,Cech two-cocycle row,overlaps.csv,cech_2cocycle,cech_2cocycle_value in {-1 1},The wall atlas must account for the overlap sign cocycle,missing_open_obligation,appendices/G_obstruction_discharges.tex:91,verified,no Cech two-cocycle row supplied
overlap_cochain,overlap,Cech cochain row,overlaps.csv,cochain,cochain_id,The sign cocycle must be trivialized by an explicit cochain,missing_open_obligation,appendices/G_obstruction_discharges.tex:91,verified,no Cech cochain row supplied
overlap_coboundary,overlap,zero coboundary defect row,overlaps.csv,coboundary_defect,coboundary_defect_rank=0,O2 requires overlap coherence not only local charts,missing_open_obligation,appendices/G_obstruction_discharges.tex:91,verified,no coboundary defect row supplied
overlap_unit,overlap,zero unit-overlap defect row,overlaps.csv,unit_overlap_defect,unit_overlap_defect_rank=0,Pfaffian units must agree across overlaps,missing_open_obligation,appendices/G_obstruction_discharges.tex:91,verified,no unit-overlap row supplied
overlap_orientation,overlap,zero orientation-overlap defect row,overlaps.csv,orientation_overlap_defect,orientation_overlap_defect_rank=0,Quotient orientations must agree across overlaps,missing_open_obligation,appendices/G_obstruction_discharges.tex:92,verified,no orientation-overlap row supplied
transport_weyl_lift,orbit_transport,Weyl lift transport row,orbit_transport.csv,weyl_lift,weyl_lift_id and weyl_word,The three local signs become global only after chosen Weyl transport,missing_open_obligation,chapters/06_pfaffian_dirac.tex:636,verified,no Weyl lift transport row supplied
transport_orientation,orbit_transport,orientation transport row,orbit_transport.csv,orientation_transport,orientation_transport_id,The orientation character is transported in the Picard groupoid,missing_open_obligation,chapters/06_pfaffian_dirac.tex:1168,verified,no orientation transport row supplied
transport_pfaffian,orbit_transport,Pfaffian transport defect row,orbit_transport.csv,pfaffian_transport,pfaffian_transport_defect_rank=0,The wall charts must transport as Pfaffian line data,missing_open_obligation,appendices/G_obstruction_discharges.tex:92,verified,no Pfaffian transport row supplied
transport_rank,orbit_transport,rank preservation row,orbit_transport.csv,rank_preservation,rank_preservation_defect_rank=0,Weyl transport must preserve the rank-one normal form,missing_open_obligation,appendices/G_obstruction_discharges.tex:92,verified,no rank preservation row supplied
transport_sign,orbit_transport,sign preservation row,orbit_transport.csv,sign_preservation,sign_preservation_defect_rank=0,Weyl transport must preserve the local sign assignment,missing_open_obligation,appendices/G_obstruction_discharges.tex:92,verified,no sign preservation row supplied
half_hilbert_coordinates,half_hilbert_orbit,twelve binary wall coordinates,half_hilbert_orbit.csv,binary_coordinates,binary_coordinate_count=12,The 4096 count requires twelve independent binary coordinates,missing_open_obligation,chapters/10_open_obstructions.tex:366,verified,no binary coordinate row supplied
half_hilbert_cardinality,half_hilbert_orbit,half-Hilbert orbit cardinality row,half_hilbert_orbit.csv,orbit_cardinality,orbit_cardinality=4096,The half-Hilbert sign orbit must be counted before scalarization,missing_open_obligation,chapters/10_open_obstructions.tex:366,verified,no orbit cardinality row supplied
half_hilbert_components,half_hilbert_orbit,component coverage row,half_hilbert_orbit.csv,component_coverage,component_count nonnegative with coverage data,O2 must cover retained wall components,missing_open_obligation,chapters/06_pfaffian_dirac.tex:354,verified,no component coverage row supplied
half_hilbert_boundaries,half_hilbert_orbit,boundary coverage row,half_hilbert_orbit.csv,boundary_coverage,boundary_count nonnegative with coverage data,O2 must cover retained boundary strata,missing_open_obligation,chapters/06_pfaffian_dirac.tex:354,verified,no boundary coverage row supplied
half_hilbert_sign_matrix,half_hilbert_orbit,sign assignment matrix row,half_hilbert_orbit.csv,sign_assignment_matrix,sign_assignment_matrix_id,The half-Hilbert orbit is an explicit sign assignment not a scalar integer alone,missing_open_obligation,appendices/G_obstruction_discharges.tex:94,verified,no sign matrix row supplied
half_hilbert_coverage_defect,half_hilbert_orbit,zero coverage defect row,half_hilbert_orbit.csv,coverage_defect,coverage_defect_rank=0,The wall atlas must prove no retained type-II wall is missed,missing_open_obligation,appendices/G_obstruction_discharges.tex:95,verified,no coverage defect row supplied
compat_boundary,compatibility,boundary compatibility row,compatibilities.csv,boundary,defect_rank=0,Boundary strata must be compatible with the local wall model,missing_open_obligation,chapters/06_pfaffian_dirac.tex:363,verified,no boundary compatibility row supplied
compat_component,compatibility,component compatibility row,compatibilities.csv,component,defect_rank=0,Component coverage must be compatible with wall charts,missing_open_obligation,chapters/06_pfaffian_dirac.tex:363,verified,no component compatibility row supplied
compat_hn_transition,compatibility,HN-transition compatibility row,compatibilities.csv,hn_transition,defect_rank=0,O2 must be compatible along the cofinal HN system,missing_open_obligation,appendices/G_obstruction_discharges.tex:97,verified,no HN-transition compatibility row supplied
compat_protected_integration,compatibility,protected-integration compatibility row,compatibilities.csv,protected_integration,defect_rank=0,The local sign enters the protected Pfaffian only through compatible integration maps,missing_open_obligation,chapters/06_pfaffian_dirac.tex:356,verified,no protected-integration compatibility row supplied
compat_quotient_orientation,compatibility,quotient-orientation compatibility row,compatibilities.csv,quotient_orientation,defect_rank=0,O2 wall signs depend on the retained quotient orientation,missing_open_obligation,chapters/06_pfaffian_dirac.tex:356,verified,no quotient-orientation compatibility row supplied
compat_thom_sebastiani,compatibility,Thom-Sebastiani compatibility row,compatibilities.csv,thom_sebastiani,defect_rank=0,Wall signs must be multiplicative under retained extension charts,missing_open_obligation,appendices/G_obstruction_discharges.tex:97,verified,no Thom-Sebastiani compatibility row supplied
compat_weyl_lift,compatibility,Weyl-lift compatibility row,compatibilities.csv,weyl_lift,defect_rank=0,O2 must be compatible with O1-plus Weyl lifts,missing_open_obligation,appendices/G_obstruction_discharges.tex:97,verified,no Weyl-lift compatibility row supplied
compat_type_i_exclusion,compatibility,type-I exclusion row,compatibilities.csv,type_i_exclusion,type_i_excluded=true,The type-II wall atlas must not import type-I walls,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1931,verified,no type-I exclusion row supplied
compat_d0_limit,compatibility,D0-limit extension row,compatibilities.csv,d0_limit_extension,defect_rank=0,The wall atlas must extend over the retained D0 limit used by the Pfaffian theorem,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:2001,verified,no D0-limit extension row supplied
scalar_maass_firewall,scalar_separation,Maass-character firewall row,scalar_separation.csv,maass_character_not_atlas,excluded_identification=true,The Maass character value does not construct the wall atlas,missing_open_obligation,chapters/10_open_obstructions.tex:377,verified,no Maass firewall row supplied
scalar_op_firewall,scalar_separation,OP scalar branch firewall row,scalar_separation.csv,op_scalar_not_orientation,excluded_identification=true,The OP scalar sign is not the Pfaffian orientation character,missing_open_obligation,chapters/06_pfaffian_dirac.tex:366,verified,no OP scalar firewall row supplied
scalar_theta_firewall,scalar_separation,squared theta-leading firewall row,scalar_separation.csv,wall_count_vs_squared_theta_leading,operator_value=4096 automorphic_value=4096 equality_value=4096 excluded_identification=true,The equality 2^12=64^2=4096 is scalar after the atlas is supplied,missing_open_obligation,chapters/10_open_obstructions.tex:366,verified,no squared-theta firewall row supplied
