obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,e3_status,proof_reference,check_status,notes
qme_bv_bracket,bv_qme,BV bracket row,bv_qme.csv,bv_bracket,bracket_id,The master equation requires the BV bracket,missing_open_obligation,compute/verify_e3_source_fixture.py:119,verified,no BV bracket row supplied
qme_classical_master,bv_qme,classical master equation row,bv_qme.csv,classical_master,classical_master_defect_rank=0,Classical gauge invariance must be verified before QME,missing_open_obligation,compute/verify_e3_source_fixture.py:119,verified,no CME row supplied
qme_quantum_master,bv_qme,quantum master equation row,bv_qme.csv,quantum_master,quantum_master_defect_rank=0,The compact E3 source requires the QME not only classical data,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:48,verified,no QME row supplied
qme_anomaly_class,bv_qme,zero anomaly class row,bv_qme.csv,anomaly_class,anomaly_class_rank=0,Anomaly cancellation is part of the compact source construction,missing_open_obligation,compute/verify_e3_source_fixture.py:119,verified,no anomaly class row supplied
anomaly_bv_qme,anomaly,anomaly BV-QME row,anomaly_framing.csv,bv_qme,anomaly_type=bv_qme obstruction_rank=0,The QME anomaly must be recorded separately from the equation row,missing_open_obligation,compute/verify_e3_source_fixture.py:135,verified,no BV-QME anomaly row supplied
anomaly_holomorphic_de_rham,anomaly,holomorphic de Rham obstruction row,anomaly_framing.csv,holomorphic_de_rham,anomaly_type=holomorphic_de_rham obstruction_rank=0,The compact source must trivialize the holomorphic de Rham obstruction,missing_open_obligation,certificates/e3_source/k3e_e3_holfa/README.md:18,verified,no holomorphic de Rham obstruction row supplied
anomaly_framing,anomaly,framing row,anomaly_framing.csv,framing,framing_id,The E3 source needs a framing compatible with the BV data,missing_open_obligation,compute/verify_e3_source_fixture.py:135,verified,no framing row supplied
anomaly_formality,anomaly,formality map row,anomaly_framing.csv,formality,formality_map_id with formality_defect_rank=0,The finite E3 model must include the formality map used by the operad action,missing_open_obligation,compute/verify_e3_source_fixture.py:135,verified,no formality row supplied
anomaly_trivialization,anomaly,anomaly trivialization row,anomaly_framing.csv,trivialization,trivialization_id,The obstruction class must be killed by an explicit trivialization,missing_open_obligation,compute/verify_e3_source_fixture.py:135,verified,no trivialization row supplied
support_compact_condition,compact_support,compact support condition row,compact_support.csv,compact_support_condition,compact_support_condition,The compact source requires retained compact support not a target-only object,missing_open_obligation,certificates/e3_source/k3e_e3_holfa/README.md:20,verified,no compact support condition row supplied
support_proper_status,compact_support,proper support row,compact_support.csv,proper_status,proper_status=verified,Operations must be proper or closed on the retained support,missing_open_obligation,compute/verify_e3_source_fixture.py:151,verified,no proper support row supplied
support_boundary_exclusion,compact_support,boundary exclusion row,compact_support.csv,boundary_exclusion,boundary_exclusion_id,Boundary-only replacements are not compact E3 source data,missing_open_obligation,certificates/e3_source/k3e_e3_holfa/README.md:20,verified,no boundary exclusion row supplied
support_defect,compact_support,zero support defect row,compact_support.csv,support_defect,support_defect_rank=0,The compact support condition must close with zero defect,missing_open_obligation,compute/verify_e3_source_fixture.py:151,verified,no support defect row supplied
descent_cover,descent,descent cover row,factorization_descent.csv,cover,cover_id,Prefactorization descent requires a cover,missing_open_obligation,certificates/e3_source/k3e_e3_holfa/README.md:22,verified,no descent cover row supplied
descent_prefactorization_map,descent,prefactorization map row,factorization_descent.csv,prefactorization_map,prefactorization_map_id,The E3 source must descend as prefactorization data,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:61,verified,no prefactorization map row supplied
descent_cech,descent,zero Cech defect row,factorization_descent.csv,cech_defect,cech_defect_rank=0,Descent requires zero Cech obstruction,missing_open_obligation,compute/verify_e3_source_fixture.py:165,verified,no Cech defect row supplied
descent_locality,descent,zero locality defect row,factorization_descent.csv,locality_defect,locality_defect_rank=0,Locality must survive descent,missing_open_obligation,compute/verify_e3_source_fixture.py:165,verified,no locality defect row supplied
descent_defect,descent,zero descent defect row,factorization_descent.csv,descent_defect,descent_defect_rank=0,The prefactorization descent must close with zero defect,missing_open_obligation,compute/verify_e3_source_fixture.py:165,verified,no descent defect row supplied
specialization_chain_map,specialization,K3-to-E chain map row,k3_to_e_specialization.csv,chain_map,chain_map_id,The K3-to-E specialization must be a chain map,missing_open_obligation,appendices/F_finite_constructions.tex:44,verified,no chain map row supplied
specialization_cosection,specialization,cosection compatibility row,k3_to_e_specialization.csv,cosection_compatibility,cosection_compatibility_id,Specialization must respect the cosection-reduced theory,missing_open_obligation,certificates/e3_source/k3e_e3_holfa/README.md:24,verified,no cosection compatibility row supplied
specialization_wrapped_leg,specialization,wrapped leg compatibility row,k3_to_e_specialization.csv,wrapped_leg_compatibility,wrapped_leg_compatibility_id,Specialization must respect wrapped hybrid legs,missing_open_obligation,certificates/e3_source/k3e_e3_holfa/README.md:24,verified,no wrapped leg compatibility row supplied
specialization_vanishing_cycle,specialization,vanishing cycle compatibility row,k3_to_e_specialization.csv,vanishing_cycle_defect,vanishing_cycle_defect_rank=0,Specialization must preserve reduced vanishing cycles,missing_open_obligation,compute/verify_e3_source_fixture.py:179,verified,no vanishing cycle row supplied
specialization_orientation,specialization,orientation compatibility row,k3_to_e_specialization.csv,orientation_defect,orientation_defect_rank=0,Specialization must preserve orientation data,missing_open_obligation,compute/verify_e3_source_fixture.py:179,verified,no orientation compatibility row supplied
specialization_pfaffian,specialization,Pfaffian compatibility row,k3_to_e_specialization.csv,pfaffian_defect,pfaffian_defect_rank=0,Specialization must preserve Pfaffian lines and sections,missing_open_obligation,compute/verify_e3_source_fixture.py:179,verified,no Pfaffian compatibility row supplied
specialization_chain_homotopy,specialization,chain homotopy defect row,k3_to_e_specialization.csv,chain_homotopy_defect,chain_homotopy_defect_rank=0,Specialization must be compatible up to zero chain homotopy defect,missing_open_obligation,compute/verify_e3_source_fixture.py:179,verified,no chain homotopy row supplied
transition_strict,transition,strict E3 transition row,transitions.csv,strict_transition,strict_status=verified,The E3 source must be compatible along finite HN stages,missing_open_obligation,compute/verify_e3_source_fixture.py:196,verified,no strict transition row supplied
transition_mittag_leffler,transition,E3 Mittag-Leffler row,transitions.csv,mittag_leffler,ml_status=ml_verified,The inverse limit source requires ML exactness,missing_open_obligation,compute/verify_e3_source_fixture.py:196,verified,no ML row supplied
transition_r1lim,transition,R1lim E3 source row,transitions.csv,r1lim_zero,r1lim_rank=0,The pro-source must have vanishing R1lim obstruction,missing_open_obligation,compute/verify_e3_source_fixture.py:196,verified,no R1lim row supplied
transition_operation_defect,transition,operation transition defect row,transitions.csv,operation_defect,operation_defect_rank=0,E3 operations must commute with transitions,missing_open_obligation,compute/verify_e3_source_fixture.py:196,verified,no operation transition row supplied
transition_specialization_defect,transition,specialization transition defect row,transitions.csv,specialization_defect,specialization_defect_rank=0,K3-to-E specialization must commute with transitions,missing_open_obligation,compute/verify_e3_source_fixture.py:196,verified,no specialization transition row supplied
firewall_automorphic_section,scalar_firewall,automorphic section exclusion row,scalar_firewall.csv,automorphic_section,excluded_from_e3_source=true,An automorphic section is not a compact E3 source,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:68,verified,no automorphic firewall row supplied
firewall_borcherds_denominator,scalar_firewall,Borcherds denominator exclusion row,scalar_firewall.csv,borcherds_denominator,excluded_from_e3_source=true,The BKM denominator is target shadow data not the compact source,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:68,verified,no Borcherds firewall row supplied
firewall_hybrid_carrier_only,scalar_firewall,hybrid-carrier-only exclusion row,scalar_firewall.csv,hybrid_carrier_only,excluded_from_e3_source=true,The hybrid carrier alone does not construct the compact E3 source,missing_open_obligation,certificates/e3_source/k3e_e3_holfa/README.md:27,verified,no hybrid-only firewall row supplied
firewall_protected_trace,scalar_firewall,protected trace exclusion row,scalar_firewall.csv,protected_trace,excluded_from_e3_source=true,A protected trace is a scalar shadow not E3 source data,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:68,verified,no protected trace firewall row supplied
firewall_target_current_envelope,scalar_firewall,target current envelope exclusion row,scalar_firewall.csv,target_current_envelope,excluded_from_e3_source=true,The target current envelope is not the compact K3xE E3 source,missing_open_obligation,chapters/05_view3_dirac_igusa.tex:68,verified,no target-current firewall row supplied
